2021-03-09T13:33:04.455773900Z: Command centre initialising...
2021-03-09T13:33:11.995808800Z: Mission 'MissionOne' to destination Mars created.
2021-03-09T13:33:15.991848Z: Mission still running!
2021-03-09T13:33:20.001255400Z: Mission still running!
2021-03-09T13:33:24.007079700Z: Mission still running!
2021-03-09T13:33:28.020047400Z: Mission still running!
2021-03-09T13:33:32.027289700Z: Mission still running!
2021-03-09T18:42:22.788935800Z: Command centre initialising...
2021-03-09T18:45:21.074585800Z: Command centre initialising...
2021-03-09T18:45:45.339979300Z: Mission 'hocus pocus-1' to destination name: Earth
orbiting: Sol
mass: 5.98E24
distance: 1.496E8 azimuth: 0.0 polar angle: 0.0 created.
2021-03-09T18:45:49.326639600Z: Mission still running!
2021-03-09T18:45:53.329694Z: Mission still running!
2021-03-09T18:45:57.330682800Z: Mission still running!
2021-03-09T18:46:01.331312300Z: Mission still running!
2021-03-09T18:46:05.332745800Z: Mission still running!
2021-03-09T18:46:09.333611100Z: Mission still running!
2021-03-09T18:46:13.334238Z: Mission still running!
2021-03-09T18:46:17.335245100Z: Mission still running!
2021-03-09T18:46:21.336521100Z: Mission still running!
2021-03-09T18:46:25.338248Z: Mission still running!
2021-03-09T18:46:29.340749400Z: Mission still running!
2021-03-09T18:46:33.341975800Z: Mission still running!
2021-03-09T18:46:37.342758100Z: Mission still running!
2021-03-09T18:46:41.344999700Z: Mission still running!
2021-03-09T18:46:45.346457500Z: Mission still running!
2021-03-09T18:46:49.346949100Z: Mission still running!
2021-03-09T18:46:53.349026700Z: Mission still running!
2021-03-09T18:46:57.351355500Z: Mission still running!
2021-03-09T18:47:01.353756500Z: Mission still running!
2021-03-09T18:47:05.356235800Z: Mission still running!
2021-03-09T18:47:09.356922300Z: Mission still running!
2021-03-09T18:47:13.358853Z: Mission still running!
2021-03-09T18:47:17.361309Z: Mission still running!
2021-03-09T18:47:21.362687300Z: Mission still running!
2021-03-09T18:47:25.363292Z: Mission still running!
2021-03-09T18:47:29.365713100Z: Mission still running!
2021-03-09T18:47:33.367973200Z: Mission still running!
2021-03-09T18:47:37.369342100Z: Mission still running!
2021-03-09T18:47:41.370206600Z: Mission still running!
2021-03-09T18:47:45.371112400Z: Mission still running!
2021-03-09T18:47:49.371755400Z: Mission still running!
2021-03-09T18:47:52.879978300Z: Mission 'make-case-great-again' to destination name: Mars
orbiting: Sol
mass: 6.417099999999999E23
distance: 2.492E8 azimuth: 0.0 polar angle: 0.0 created.
2021-03-09T18:47:53.372290300Z: Mission still running!
2021-03-09T18:47:56.880669300Z: Mission still running!
2021-03-09T18:47:57.372954700Z: Mission still running!
2021-03-09T18:48:00.882910700Z: Mission still running!
2021-03-09T18:48:01.373793100Z: Mission still running!
2021-03-09T18:48:04.883697Z: Mission still running!
2021-03-09T18:48:05.374807800Z: Mission still running!
2021-03-09T18:48:08.885012400Z: Mission still running!
2021-03-09T18:48:09.376371600Z: Mission still running!
2021-03-09T18:48:12.885640600Z: Mission still running!
2021-03-09T18:48:13.377098100Z: Mission still running!
2021-03-09T18:48:16.886247300Z: Mission still running!
2021-03-09T18:48:17.377610300Z: Mission still running!
2021-03-09T18:48:20.887342800Z: Mission still running!
2021-03-09T18:48:21.379635400Z: Mission still running!
2021-03-09T18:48:24.889425600Z: Mission still running!
2021-03-09T18:48:25.380237900Z: Mission still running!
2021-03-09T18:48:28.891415900Z: Mission still running!
2021-03-09T18:48:29.381003500Z: Mission still running!
2021-03-09T18:48:32.892681400Z: Mission still running!
2021-03-09T18:48:33.382495900Z: Mission still running!
2021-03-09T18:48:36.893525500Z: Mission still running!
2021-03-09T18:48:37.383164100Z: Mission still running!
2021-03-09T18:48:40.894112300Z: Mission still running!
2021-03-09T18:48:41.384752800Z: Mission still running!
2021-03-09T18:48:44.895449700Z: Mission still running!
2021-03-09T18:48:45.386275500Z: Mission still running!
2021-03-09T18:48:48.896433600Z: Mission still running!
2021-03-09T18:48:49.388444400Z: Mission still running!
2021-03-09T18:48:52.898873400Z: Mission still running!
2021-03-09T18:48:53.389219900Z: Mission still running!
2021-03-09T18:48:56.900426900Z: Mission still running!
2021-03-09T18:48:57.391545600Z: Mission still running!
2021-03-09T18:49:00.902809800Z: Mission still running!
2021-03-09T18:49:01.393543300Z: Mission still running!
2021-03-09T18:49:04.905253500Z: Mission still running!
2021-03-09T18:49:05.394208700Z: Mission still running!
2021-03-09T18:49:08.905897Z: Mission still running!
2021-03-09T18:49:09.394943600Z: Mission still running!
2021-03-09T18:49:12.906798800Z: Mission still running!
2021-03-09T18:49:13.397229900Z: Mission still running!
2021-03-09T18:49:16.907750700Z: Mission still running!
2021-03-09T18:49:17.397771800Z: Mission still running!
2021-03-09T18:49:20.909932400Z: Mission still running!
2021-03-09T18:49:21.398630600Z: Mission still running!
2021-03-09T18:49:24.911039500Z: Mission still running!
2021-03-09T18:49:25.399402Z: Mission still running!
2021-03-09T18:49:28.912642700Z: Mission still running!
2021-03-09T18:49:29.399984900Z: Mission still running!
2021-03-09T18:49:32.914079800Z: Mission still running!
2021-03-09T18:49:33.401981700Z: Mission still running!
